Title,|V|,|V^*|,|V^S|,|V_*|,CiteProportion,MeanDepth,StdDevDepth,NetFlow,NetFlowPerSection,Tokens,TokensStopword,TokensPerSection,MeanWordLength,Entropy
1,84,4,39,41,0.92,2.849315068,1.212618958,29,0.743589744,3143,1381,80.58974359,6.225219941,8.243323363
2,7873,114,1196,6563,0.707542329,4.426788817,1.544721965,-350,-0.29264214,197771,89759,165.3603679,6.43596881,10.13669431
3,386,15,63,308,0.607142857,4.78125,1.763065069,-10,-0.158730159,7564,3240,120.0634921,6.291543756,8.498275836
4,221,6,47,168,0.924528302,3.232804233,1.017717681,2,0.042553191,5598,2492,119.106383,6.104036757,9.005287251
5,12814,168,1030,11616,0.824984539,6.661319797,1.299361922,2654,2.576699029,264672,118965,256.9631068,6.504916529,10.18807244
6,5940,72,395,5473,0.554644809,5.760841837,1.222655596,-283,-0.716455696,118621,60088,300.3063291,6.903022238,10.06236781
7,31468,351,2743,28374,0.81593734,4.918024065,1.471632977,-490,-0.178636529,751579,355172,273.9989063,6.510014371,10.61444166
8,6451,56,353,6042,0.856312936,6.506535948,1.503114336,-81,-0.229461756,157753,70487,446.8923513,6.290435767,10.01266145
9,68,4,31,33,0.75,2.816666667,0.991491581,12,0.387096774,2489,1106,80.29032258,6.297709924,7.81132252
10,28676,391,3302,24983,0.776951673,6.02333186,1.196209967,-156,-0.047244094,622875,288201,188.6356753,6.561823865,10.37301233
11,3989,38,264,3687,0.956058589,5.110046266,1.302084682,1,0.003787879,76244,32228,288.8030303,6.074447981,9.579389057
12,24793,266,1808,22719,0.81660105,5.130687577,1.468428353,-514,-0.284292035,659529,305635,364.7837389,6.500718973,10.27307548
13,272,22,70,180,0.875,3.97260274,1.110011758,12,0.171428571,7640,3471,109.1428571,6.34137931,9.119072459
14,1417,31,370,1016,0.672922252,4.901385493,1.283418051,9,0.024324324,39736,18599,107.3945946,6.336433212,9.595376772
15,29491,273,2297,26921,0.772631261,4.742738229,1.448281925,-218,-0.0949064,773819,359707,336.8824554,6.593089936,10.80365122
16,33925,475,4726,28724,0.897198732,4.566128565,1.390886685,-534,-0.112991959,947467,457108,200.4796868,6.470781671,10.75150552
17,2195,18,140,2037,0.94962963,4.409363745,1.34074882,51,0.364285714,61069,27806,436.2071429,6.556871049,9.884241411
18,10245,153,1346,8746,0.817396866,4.940307692,1.246980315,836,0.621099554,289370,127843,214.9851412,6.16143271,10.45198083
19,12665,185,995,11485,0.898689677,5.909274194,1.554452687,-97,-0.097487437,301130,137556,302.6432161,6.451507871,10.46648239
20,32888,715,2232,29941,0.881610577,6.408700882,1.687364143,-157,-0.070340502,686604,334675,307.6182796,6.687011337,10.24439123
21,10217,93,570,9554,0.823668639,6.043343653,1.676702365,55,0.096491228,262252,118277,460.0912281,6.467672033,10.41728952
22,21377,499,2887,17991,0.792492378,4.785086705,1.474777388,-719,-0.249047454,541445,260312,187.5458954,6.73512796,10.6656604
23,3816,7,148,3661,0.747252747,4.471335393,1.117512887,-100,-0.675675676,85846,42171,580.0405405,6.649277641,9.888659108
24,620,23,163,434,0.793510324,4.196392786,1.370131941,-66,-0.404907975,11911,5875,73.07361963,6.518159806,9.103853364
25,13038,246,2098,10694,0.813531887,4.513621262,1.343789715,-261,-0.124404194,332240,157443,158.3603432,6.399022329,10.28265455
26,52838,531,2088,50219,0.972741569,7.802980928,1.644696519,576,0.275862069,1016995,435634,487.0665709,6.104554601,9.944204978
27,224,13,45,166,0.890756303,4.060773481,1.12316515,-6,-0.133333333,6515,2846,144.7777778,6.153846154,8.894766703
28,5292,86,793,4413,0.69919427,4.783321783,1.289002816,659,0.831021438,151072,70603,190.5069357,6.196793156,10.23090736
29,13284,179,762,12343,0.801934827,6.320235557,1.945077358,-147,-0.192913386,310341,143047,407.2716535,6.535042306,10.26459172
30,4608,85,643,3880,0.795671547,4.490036707,1.359686393,-144,-0.223950233,161023,75987,250.4245723,6.435980924,10.41730623
31,6740,79,471,6190,0.680930233,5.88745423,1.23389789,751,1.59447983,133082,62899,282.552017,6.605334323,10.25231705
32,528,6,75,447,0.580645161,3.504504505,0.964447971,135,1.8,12965,5862,172.8666667,6.180947167,8.493447526
33,9932,127,1319,8486,0.870624571,4.653109453,1.398538784,-94,-0.071266111,273499,129155,207.353298,6.452210237,10.66908335
35,983,28,150,805,0.813291139,4.836526181,1.271092968,-27,-0.18,30630,13872,204.2,6.459195813,9.492974574
36,4604,115,1124,3365,0.594713656,5.09026764,0.925380267,-64,-0.056939502,86980,38929,77.38434164,6.476590015,9.504447805
37,2760,15,208,2537,0.721428571,4.368179734,1.148599545,92,0.442307692,57611,25476,276.9759615,6.263265371,9.036496641
38,12019,174,1019,10826,0.789940828,5.851518438,1.27088747,-277,-0.271835132,259071,118660,254.2404318,6.635692511,10.16639709
39,2012,33,172,1807,0.77324263,5.251600512,1.307449599,-30,-0.174418605,46591,21954,270.877907,6.425203681,9.82204792
40,3579,102,437,3040,0.593806922,5.744002864,1.262242171,341,0.780320366,77579,37269,177.5263158,6.696109148,10.2055903
41,2425,17,237,2171,0.702660407,4.318444561,1.360624605,359,1.514767932,57447,26756,242.3924051,6.727143826,9.779589638
42,116237,1418,7400,107419,0.85329014,5.965217196,1.581298754,-846,-0.114324324,2732251,1299620,369.2231081,6.559160641,10.78807169
43,5783,171,1343,4269,0.853959411,4.13027947,1.394555102,61,0.0454207,193290,90010,143.9240506,6.336281181,10.4231141
44,1791,27,345,1419,0.594795539,4.201629328,1.629896371,6,0.017391304,49853,23812,144.5014493,6.740925856,9.814863064
45,2907,55,294,2558,0.737060041,4.787904968,1.523730409,-383,-1.302721088,86113,38546,292.9013605,6.419873016,9.931427085
46,6843,146,884,5813,0.85125448,5.647411444,1.240303032,10,0.011312217,134804,62498,152.4932127,6.445446957,10.17914501
47,5329,52,323,4954,0.876367615,6.037374221,1.530724281,-42,-0.13003096,143878,68426,445.4427245,6.612105131,10.25773977
48,1733,59,573,1101,0.806996381,4.239202658,1.719129627,-99,-0.172774869,56044,25926,97.80802792,6.312142183,9.774935354
49,17900,185,1185,16530,0.84375,6.396487187,1.383964471,105,0.088607595,382820,184710,323.0548523,6.72173788,10.44231061
50,6774,149,719,5906,0.626031164,5.07447619,1.380122825,-561,-0.780250348,148286,69915,206.2392211,6.834965586,10.20014705
